TIME BLOCK ANALYSIS - EFFICIENT SUMMARY
(50 blocks per day, focusing on key metrics)
====================================================================================================


====================================================================================================
DAY-BY-DAY SUMMARY: ASH_COATED_OSMIUM
====================================================================================================

Day    Trades     Volume       Avg/Trade    Price Range        VWAP         % Change    
----------------------------------------------------------------------------------------------------
-2     429        2210         5.2          9979-10018         9998.26            +0.11%
-1     425        2225         5.2          9982-10019         10000.85           +0.09%
0      411        2158         5.3          9981-10026         10001.64           -0.10%


====================================================================================================
TIME BLOCK ANALYSIS: ASH_COATED_OSMIUM
====================================================================================================

DAY -2
----------------------------------------------------------------------------------------------------
Block    Time Range           Trades   Vol      Price                Change     Momentum    
----------------------------------------------------------------------------------------------------
1          700-20592      11       61       9990-10018             +0.28%   6U/3D       
2        20592-40484      8        53       10013-10012            -0.01%   3U/3D       
3        40484-60376      11       60       9997-9998              +0.01%   6U/4D       
4        60376-80268      8        59       9989-10008             +0.19%   4U/1D       
5        80268-100160      11       50       9991-9993              +0.02%   5U/4D       
6        100160-120052      14       79       10001-10010            +0.09%   7U/5D       
7        120052-139944      8        36       10010-9988             -0.22%   3U/3D       
8        139944-159836      2        9        10007-10005            -0.02%   0U/1D       
9        159836-179728      7        32       10004-10009            +0.05%   3U/3D       
10       179728-199620      9        48       10010-9987             -0.23%   2U/5D       
11       199620-219512      9        38       10000-10006            +0.06%   4U/3D       
12       219512-239404      9        40       10000-10006            +0.06%   3U/5D       
13       239404-259296      10       33       10008-10004            -0.04%   2U/5D       
14       259296-279188      6        24       10003-9985             -0.18%   2U/3D       
15       279188-299080      12       64       9983-10006             +0.23%   6U/2D       
16       299080-318972      12       72       10000-9986             -0.14%   3U/5D       
17       318972-338864      5        33       10002-9999             -0.03%   2U/1D       
18       338864-358756      6        29       9979-10006             +0.27%   4U/1D       
19       358756-378648      8        49       10005-10008            +0.03%   3U/2D       
20       378648-398540      9        44       9994-9996              +0.02%   4U/3D       
21       398540-418432      10       64       9995-10018             +0.23%   5U/3D       
22       418432-438324      1        3        9999-9999              +0.00%   N/A         
23       438324-458216      14       74       9995-9993              -0.02%   5U/6D       
24       458216-478108      7        32       10010-10009            -0.01%   2U/3D       
25       478108-498000      11       37       9991-9988              -0.03%   5U/5D       
26       498000-517892      10       55       9985-9998              +0.13%   5U/4D       
27       517892-537784      12       62       9986-9986              +0.00%   5U/4D       
